violet,blue,green,yellow,orange,red,label
197,229,315,354,365,372,0
197,229,315,355,366,373,0
197,229,315,355,366,373,0
198,230,316,356,367,373,0
198,230,316,356,367,374,0
198,230,316,356,367,374,0
198,230,317,357,368,375,0
198,230,317,357,367,375,0
198,231,317,357,368,375,0
198,231,318,358,368,376,0
198,231,318,358,368,376,0
4265,1423,2476,2579,8679,10459,6
4294,1428,2578,2639,8811,10563,6
4539,1547,2902,2847,9245,11177,6
3894,1283,2094,2329,7858,9509,6
4038,1284,6894,2535,10515,8335,6
3918,1075,7307,3124,11290,7397,6
4097,1034,7544,2969,11226,7754,6
4177,1323,7144,3242,11053,7413,6
4419,795,4629,4223,7375,5041,6
3714,820,3660,3630,5830,4232,6
3944,944,6892,2978,10748,7001,6
3048,708,4414,3663,7625,5117,6
3677,1055,6884,2692,10676,7169,6
3613,2178,2292,3585,3363,4877,6
2591,717,2187,1282,5258,5001,6
1981,597,1195,1074,4082,4440,6
5386,1026,5030,3901,7394,5166,6
4227,1306,4572,2551,11884,9833,6
3897,1167,6198,2241,13140,8013,6
13175,5571,4752,2352,2856,671,5
13304,5717,5189,2290,3488,632,5
13814,5942,4921,2234,3915,640,5
13170,5920,3837,2116,2104,656,5
13603,5705,7744,2849,6578,614,5
6900,2599,4423,3364,3500,446,5
13073,5610,5279,2500,2929,689,5
7416,2795,4181,3328,3270,461,5
10040,3997,5962,3343,4612,474,5
13949,6178,4827,2327,2099,634,5
12003,5144,6500,2052,3504,496,5
11033,4685,6567,2027,3727,467,5
4945,2037,1595,832,692,236,5
16720,8479,14223,13547,11465,3826,5
9098,3440,5497,2553,4396,413,5
15091,11904,15160,10486,6531,2031,4
10424,8306,10252,7153,4176,1328,4
14304,10858,12621,8828,5335,1692,4
8058,6173,9252,5642,3270,1055,4
12845,7072,12833,7668,8972,1414,4
10576,7093,12254,6285,6414,1264,4
8681,6423,8172,5634,4597,1051,4
6277,4711,8702,5083,2960,924,4
8053,5847,9771,7108,4336,996,4
6384,4305,4914,3666,2469,843,4
6529,4828,7555,4580,2801,877,4
4746,3048,4348,3768,2863,682,4
2240,1621,1824,1441,951,367,4
3763,2785,4435,3327,2424,500,4
1172,5352,10233,4247,4078,485,3
4282,3348,13930,7046,9822,399,3
988,3900,10625,3588,5382,406,3
2022,4373,13985,4849,8958,442,3
662,3356,5255,2868,1373,316,3
9406,10082,19620,17958,11484,2467,3
783,2982,9428,2627,3406,288,3
1242,3014,13239,3806,6175,330,3
1280,5228,7899,4435,2510,559,3
941,3513,11585,3627,5554,385,3
6318,5520,11660,9970,8617,2602,3
642,3272,4809,2630,1212,283,3
1796,3160,13279,4179,8707,354,3
1143,5074,8276,4289,2801,507,3
2357,2876,12901,6611,7885,345,3
2140,4577,30131,30275,39436,13563,2
6707,5005,31450,33110,37702,12766,2
2198,5707,30119,31476,37164,13930,2
3866,6902,41283,36515,50646,16144,2
2174,6214,31502,34376,38152,15427,2
2065,6154,31962,33615,38228,15095,2
1623,5108,25656,27864,31404,12409,2
8722,9873,49085,51201,51201,19019,2
5931,5311,35299,32986,41688,14042,2
2195,3153,18175,19849,21037,7876,2
2027,5902,31612,34108,38861,15233,2
1399,3836,21327,20548,22592,8067,2
3734,3897,24241,22844,30202,10108,2
1870,4889,30885,28227,34119,12353,2
1973,4600,28453,24761,32039,10570,2
2614,5900,33743,32595,39977,14515,2
1886,5708,28793,31182,34488,13668,2
1926,5595,29107,30382,35009,13415,2
1456,367,6831,2849,14391,7622,1
779,442,3373,2668,11616,8614,1
839,519,2250,2982,12352,9791,1
824,534,2078,3059,13520,10796,1
3486,595,8251,4806,19863,10370,1
847,490,1896,3014,12574,10286,1
680,438,1573,2679,10957,9111,1
963,515,3726,2891,13322,9384,1
491,254,2203,1483,9051,5014,1
395,344,1000,1915,7333,6424,1
763,452,1280,2562,11829,9574,1
752,495,1986,2778,11623,9413,1
694,422,1588,2528,11167,9193,1
742,481,1722,2746,11908,9897,1
964,409,5760,2593,16052,8168,1
1141,522,6627,2990,16716,8971,1
1051,356,5754,2490,15276,7816,1